version,track,platform,arch,timestamp,texthash
METADATA,github.com/InvoxiPlayGames/GMSIdentify,Windows,_,1752971421,_
1.4.1474,Studio,Windows,x86,1416687173,847232E0D225D148C155B26A01FB55FDBCE084A29CF5CFF78A0D57A9734D506E
1.4.1495,Studio,Windows,x86,1418029031,E1555F595C3F14AB2CEFFFF9CDF65245E3ED4FFDE8F9CDC3FE59C750844E0683
1.4.1496,Studio,Windows,x86,1418144296,78F2B7F18BED55F46CE88E55288732526162B16851398869168B960857B90898
1.4.1499,Studio,Windows,x86,1418743037,E1555F595C3F14AB2CEFFFF9CDF65245E3ED4FFDE8F9CDC3FE59C750844E0683
1.4.1514,Studio,Windows,x86,1422262844,DF6B8DA0CCF77B118B4BAA61C2CD8C5FC71625033A02C05D8BD66C2A24266244
1.4.1522,Studio,Windows,x86,1422550460,179B4E580FBF4B77D42BC080D6892E591C5A2ADE8EB43FD54564B1811FC3129E
1.4.1542,Studio,Windows,x86,1425460800,8C0EFA63223BFD7CD7E94F7A99D5AEB61D564688F1B7BA43E50E3A4DDD508EC6
1.4.1556,Studio,Windows,x86,1426080215,E1523C4C2BFDBCA84DF88DC498D55FC79DEFB9EAD2164409F830ED4C7BDC0B35
1.4.1565,Studio,Windows,x86,1426681453,515CC291874EA8B687EF87C7A0EC019B397461705E0E41BEFA9D4240E4666B7B
1.4.1567,Studio,Windows,x86,1427190745,D4043643FB0AC550AA27F6B96DBEA1C2C5A1869A821DBB6579B79A1E8ED777BB
1.4.1598,Studio,Windows,x86,1436539137,E0B5CBB61290190101287E135AAE8418ED841F8D8C5FCFD5A8CF618D9308BB96
1.4.1629,Studio,Windows,x86,1438886199,7B3E9037B1ECBFF6034906DE39EB0DBD8834AA56A3490438E71DA7598057AEB2
1.4.1657,Studio,Windows,x86,1442300865,D91C3A2C4F0E5E28D83594391FB6A077071FF4C35563253874138709F994B4A2
1.4.1675,Studio,Windows,x86,1447927792,11F265F8BE63791765FBCC000B25FE46D5F616737FCD13EAF66298992F09650F
1.4.1683,Studio,Windows,x86,1449146783,747831C285BF39ED6A28842E9A30125729DEF93704F5153DD85557CB71CA6131
1.4.1690,Studio,Windows,x86,1449758987,4B5B6F67AACAC159E9F8C3F7EB45EC149FA398A19C02F22B484202B4FD4B3CE6
1.4.1711,Studio,Windows,x86,1453889861,51D5B1A93FB8BEC868BA9CAD2192E5A3DBFB1A74EE4BDE0DA2FE798C64A08E6D
1.4.1747,Studio,Windows,x86,1455720974,ABFD89BBFADE6A7A817E3986CDC05B893A540942298A07502C5581876DAAD83E
1.4.1749,Studio,Windows,x86,1456325517,558643A5DDA111A2C6F3C6BFDD5D433E3952E10D650FA811339ADB46FFDE9926
1.4.1757,Studio,Windows,x86,1460545949,558643A5DDA111A2C6F3C6BFDD5D433E3952E10D650FA811339ADB46FFDE9926
